time_sec,w_000,w_001,w_002,w_003,w_004,w_005,w_006,w_007,w_008,w_009,w_sum
1.9166666,0.0040389756,0.20668082,0.65759075,0.13008817,0.0016000966,1.2237183e-06,5.8189367e-11,1.7204046e-16,3.16262e-23,3.614815e-31,1.0
1.9333333,0.0036943022,0.19800122,0.6598262,0.13671555,0.0017612986,1.4108298e-06,7.0265696e-11,2.1758938e-16,4.189461e-23,5.0153703e-31,0.99999994
1.95,0.0033764923,0.18954284,0.6615696,0.14357215,0.0019372754,1.6253211e-06,8.4783694e-11,2.7498615e-16,5.5454946e-23,6.953326e-31,0.99999994
1.9666667,0.0030836966,0.18130906,0.66281724,0.15065885,0.002129228,1.8710092e-06,1.0222487e-10,3.4726678e-16,7.334916e-23,9.632923e-31,0.99999994
1.9833333,0.00281417,0.17330222,0.6635667,0.15797623,0.002338435,2.1522117e-06,1.2316116e-10,4.382131e-16,9.694558e-23,1.333501e-30,0.99999994
2.0,0.0025662626,0.16552415,0.6638167,0.16552415,0.0025662626,2.4738142e-06,1.482723e-10,5.5255945e-16,1.2803363e-22,1.8445842e-30,0.99999994
2.0166667,0.0023384336,0.15797614,0.66356635,0.17330211,0.0028141683,2.841338e-06,1.7836971e-10,6.9622154e-16,1.6896493e-22,2.5496081e-30,1.0
2.0333333,0.0021292253,0.15065865,0.6628164,0.18130884,0.0030836926,3.2609942e-06,2.1441543e-10,8.765681e-16,2.228164e-22,3.52153e-30,1.0000001
2.05,0.0019372714,0.14357185,0.6615682,0.18954244,0.0033764853,3.7398152e-06,2.5754998e-10,1.102813e-15,2.9360658e-22,4.8602185e-30,1.0
2.0666666,0.0017612936,0.13671519,0.6598243,0.19800058,0.0036942915,4.2857046e-06,3.0912894e-10,1.3863805e-15,3.8659425e-22,6.702746e-30,1.0
2.0833333,0.001600093,0.13008773,0.6575883,0.20667998,0.004038957,4.9075684e-06,3.7075792e-10,1.7415618e-15,5.0864444e-22,9.236747e-30,1.0
2.1,0.0014525468,0.12368799,0.65486467,0.2155768,0.004412441,5.6154204e-06,4.4433696e-10,2.186104e-15,6.687343e-22,1.271923e-29,1.0
2.1166666,0.0013176088,0.1175141,0.65165865,0.22468646,0.0048168185,6.4205196e-06,5.3211474e-10,2.7420227e-15,8.785326e-22,1.7501586e-29,1.0
2.1333334,0.0011942979,0.111563675,0.64797676,0.23400362,0.005254272,7.335491e-06,6.3675276e-10,3.4366926e-15,1.1532805e-21,2.4063303e-29,0.99999994
2.15,0.0010817072,0.1058342,0.64382654,0.24352203,0.0057270927,8.37446e-06,7.613885e-10,4.304087e-15,1.5128098e-21,3.3060823e-29,0.99999994
2.1666667,0.0009789851,0.10032259,0.63921624,0.25323483,0.006237716,9.55332e-06,9.0972463e-10,5.3863295e-15,1.9828977e-21,4.538741e-29,0.9999999
2.1833334,0.0008853429,0.09502554,0.6341552,0.26313424,0.006788687,1.0889818e-05,1.0861306e-09,6.735488e-15,2.5970812e-21,6.226247e-29,0.99999994
