time_sec,w_000,w_001,w_002,w_003,w_004,w_005,w_006,w_007,w_008,w_009,w_sum
1.65,0.0,0.35000002,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.6666666,0.0,0.33333337,0.6666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.6833333,0.0,0.31666672,0.6833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.7,0.0,0.29999995,0.70000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.7166667,0.0,0.2833333,0.7166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.7333333,0.0,0.26666665,0.73333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.75,0.0,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.7666667,0.0,0.23333335,0.76666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.7833333,0.0,0.2166667,0.7833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.8,0.0,0.20000005,0.79999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.8166667,0.0,0.18333328,0.8166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.8333334,0.0,0.16666663,0.8333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.85,0.0,0.14999998,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.8666667,0.0,0.13333333,0.8666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.8833333,0.0,0.116666675,0.8833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.9,0.0,0.100000024,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.9166666,0.0,0.08333337,0.9166666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.9333333,0.0,0.06666672,0.9333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.95,0.0,0.049999952,0.95000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.9666667,0.0,0.0333333,0.9666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.9833333,0.0,0.01666665,0.98333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.0166667,0.0,0.0,0.98333335,0.01666665,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.0333333,0.0,0.0,0.9666667,0.0333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.05,0.0,0.0,0.95000005,0.049999952,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.0666666,0.0,0.0,0.9333334,0.0666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.0833333,0.0,0.0,0.91666675,0.083333254,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.1,0.0,0.0,0.9000001,0.099999905,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.1166666,0.0,0.0,0.88333344,0.116666555,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.1333334,0.0,0.0,0.86666656,0.13333344,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.15,0.0,0.0,0.8499999,0.1500001,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.1666667,0.0,0.0,0.83333325,0.16666675,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.1833334,0.0,0.0,0.8166666,0.1833334,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.2,0.0,0.0,0.79999995,0.20000005,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.2166667,0.0,0.0,0.7833333,0.2166667,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.2333333,0.0,0.0,0.76666665,0.23333335,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.25,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.2666667,0.0,0.0,0.73333335,0.26666665,0.0,0.0,0.0,0.0,0.0,0.0,1.0
