Mode,BackFrameNum,BackWeight,MidFrameNum,MidWeight,FrontFrameNum,FrontWeight,TimeMs,Knob,ResponsePattern,StepNumber,Amplitude,Velocity,FunctionRatio,CameraSpeed
GaussOnlyFreeze,A,0.068322,B,0.601938,C,0.329740,3283.333,0.000,Velocity,1,0,1.000000,0.601938,1.000
GaussOnlyFreeze,A,0.064423,B,0.594487,C,0.341089,3300.000,0.000,Velocity,1,0,1.000000,0.594487,1.000
GaussOnlyFreeze,A,0.060705,B,0.586715,C,0.352581,3316.667,0.000,Velocity,1,0,1.000000,0.586715,1.000
GaussOnlyFreeze,A,0.057160,B,0.578637,C,0.364203,3333.333,0.000,Velocity,1,0,1.000000,0.578637,1.000
GaussOnlyFreeze,A,0.053785,B,0.570270,C,0.375945,3350.000,0.000,Velocity,1,0,1.000000,0.570270,1.000
GaussOnlyFreeze,A,0.050574,B,0.561631,C,0.387795,3366.667,0.000,Velocity,1,0,1.000000,0.561631,1.000
GaussOnlyFreeze,A,0.047522,B,0.552739,C,0.399739,3383.333,0.000,Velocity,1,0,1.000000,0.552739,1.000
GaussOnlyFreeze,A,0.044622,B,0.543611,C,0.411767,3400.000,0.000,Velocity,1,0,1.000000,0.543611,1.000
GaussOnlyFreeze,A,0.041871,B,0.534265,C,0.423864,3416.667,0.000,Velocity,1,0,1.000000,0.534265,1.000
GaussOnlyFreeze,A,0.039263,B,0.524721,C,0.436017,3433.333,0.000,Velocity,1,0,1.000000,0.524721,1.000
GaussOnlyFreeze,A,0.036792,B,0.514995,C,0.448213,3450.000,0.000,Velocity,1,0,1.000000,0.514995,1.000
GaussOnlyFreeze,A,0.034453,B,0.505108,C,0.460439,3466.667,0.000,Velocity,1,0,1.000000,0.505108,1.000
GaussOnlyFreeze,A,0.032241,B,0.495078,C,0.472681,3483.333,0.000,Velocity,1,0,1.000000,0.495078,1.000
GaussOnlyFreeze,A,0.484924,B,0.484925,C,0.030151,3500.000,0.000,Velocity,1,0,1.000000,0.484925,1.000
GaussOnlyFreeze,A,0.472681,B,0.495079,C,0.032241,3516.667,0.000,Velocity,1,0,1.000000,0.495079,1.000
GaussOnlyFreeze,A,0.460439,B,0.505108,C,0.034453,3533.333,0.000,Velocity,1,0,1.000000,0.505108,1.000
GaussOnlyFreeze,A,0.448213,B,0.514995,C,0.036792,3550.000,0.000,Velocity,1,0,1.000000,0.514995,1.000
GaussOnlyFreeze,A,0.436017,B,0.524721,C,0.039263,3566.667,0.000,Velocity,1,0,1.000000,0.524721,1.000
GaussOnlyFreeze,A,0.423863,B,0.534266,C,0.041871,3583.333,0.000,Velocity,1,0,1.000000,0.534266,1.000
GaussOnlyFreeze,A,0.411766,B,0.543611,C,0.044622,3600.000,0.000,Velocity,1,0,1.000000,0.543611,1.000
GaussOnlyFreeze,A,0.399739,B,0.552739,C,0.047522,3616.667,0.000,Velocity,1,0,1.000000,0.552739,1.000
GaussOnlyFreeze,A,0.387794,B,0.561632,C,0.050574,3633.333,0.000,Velocity,1,0,1.000000,0.561632,1.000
GaussOnlyFreeze,A,0.375945,B,0.570270,C,0.053785,3650.000,0.000,Velocity,1,0,1.000000,0.570270,1.000
GaussOnlyFreeze,A,0.364203,B,0.578637,C,0.057160,3666.667,0.000,Velocity,1,0,1.000000,0.578637,1.000
GaussOnlyFreeze,A,0.352581,B,0.586715,C,0.060705,3683.333,0.000,Velocity,1,0,1.000000,0.586715,1.000
GaussOnlyFreeze,A,0.341089,B,0.594488,C,0.064424,3700.000,0.000,Velocity,1,0,1.000000,0.594488,1.000
